PLAYER_NAME,WINNING_TEAM,LOSING_TEAM,prediction
Cuttino Mobley,Rockets,Jazz,19.49054681174207
Cuttino Mobley,Rockets,Trail Blazers,20.11886146918637
Reggie Slater,Timberwolves,Rockets,6.136450635169899
Reggie Slater,Timberwolves,Bucks,5.74289483193362
Reggie Slater,Timberwolves,Cavaliers,4.681982289292607
Reggie Slater,Timberwolves,Heat,4.752783761058689
Reggie Slater,Timberwolves,Trail Blazers,5.73925348585623
Derrick Dial,Spurs,Jazz,4.697507526979612
Derrick Dial,Spurs,Clippers,3.6969787803179415
Derrick Dial,Spurs,Raptors,3.796404658257716
Derrick Dial,Spurs,Suns,3.6969787803179415
Mark Jackson,Raptors,Bucks,9.682245571475486
Mark Jackson,Raptors,Pacers,8.851944174519675
Mark Jackson,Raptors,Celtics,7.525019750310415
Mark Jackson,Raptors,Nuggets,8.646316088930773
Mark Jackson,Knicks,SuperSonics,8.724400252851636
Mark Jackson,Knicks,Magic,7.936782283933647
Othella Harrington,Grizzlies,SuperSonics,9.87291206692897
Othella Harrington,Grizzlies,Pistons,9.542875043303995
Othella Harrington,Grizzlies,SuperSonics,10.085822844672654
Othella Harrington,Grizzlies,Clippers,9.837511331045933
Othella Harrington,Grizzlies,Warriors,10.852099099571733
Othella Harrington,Grizzlies,Lakers,11.905728950057965
Othella Harrington,Knicks,Nets,9.26593912350358
Othella Harrington,Knicks,Heat,9.280504507813143
George McCloud,Nuggets,Lakers,8.76123721342949
George McCloud,Nuggets,Spurs,9.846626453721376
George McCloud,Nuggets,Spurs,10.002794781563106
George McCloud,Nuggets,Pistons,10.73367030057914
George McCloud,Nuggets,Cavaliers,9.030890441075124
George McCloud,Nuggets,Nets,9.271919262547067
Milt Palacio,Celtics,Suns,6.324826744138795
Milt Palacio,Celtics,Pistons,6.963559077369839
Milt Palacio,Celtics,SuperSonics,5.491390363551025
Milt Palacio,Celtics,Suns,7.3326381829552485
Milt Palacio,Celtics,Heat,5.090551868159965
Soumaila Samake,Nets,Wizards,2.9669191355253695
Soumaila Samake,Nets,Knicks,2.4099123122925796
Bo Outlaw,Magic,Wizards,7.37317619387561
Bo Outlaw,Magic,Nets,6.826587046429559
Bo Outlaw,Magic,Celtics,8.068650977008604
Bo Outlaw,Magic,Nuggets,8.02232620289339
Bo Outlaw,Magic,Celtics,7.4158596219134285
Bo Outlaw,Magic,Spurs,9.118639481417448
Bo Outlaw,Magic,Raptors,9.484077240925467
Bo Outlaw,Magic,Suns,7.568386603677768
Bo Outlaw,Magic,Cavaliers,9.065032015147453
Bo Outlaw,Magic,Grizzlies,8.221177958772943
Bo Outlaw,Magic,Celtics,8.582974372203571
Bo Outlaw,Magic,76ers,7.284167991722571
David Wesley,Hornets,Pistons,18.931938344524347
David Wesley,Hornets,Raptors,17.398879472280754
David Wesley,Hornets,Heat,15.10055707002895
David Wesley,Hornets,Cavaliers,20.010551255106883
David Wesley,Hornets,Bulls,18.68726817697501
David Wesley,Hornets,Knicks,16.402498434141904
David Wesley,Hornets,Warriors,17.786165308253118
David Wesley,Hornets,Pistons,18.357231153350035
Matt Harpring,Cavaliers,Nets,10.333254724381904
Matt Harpring,Cavaliers,Jazz,11.461327392711611
Matt Harpring,Cavaliers,Hawks,11.07454791918468
Matt Harpring,Cavaliers,SuperSonics,11.809064784278108
Matt Harpring,Cavaliers,Bucks,13.639388565450156
Matt Harpring,Cavaliers,Hornets,13.011580270451285
Clar. Weatherspoon,Cavaliers,Wizards,9.758614801179112
Clar. Weatherspoon,Cavaliers,Heat,9.520720963339132
Clar. Weatherspoon,Cavaliers,Mavericks,10.64565864803688
Clar. Weatherspoon,Cavaliers,Warriors,12.100126993914175
Clar. Weatherspoon,Cavaliers,Wizards,11.869515848228973
Matt Maloney,Hawks,Knicks,8.68891164316596
Matt Maloney,Hawks,Nets,8.274014125910773
Matt Maloney,Hawks,Clippers,10.274565256788682
Matt Maloney,Hawks,Grizzlies,10.81751305815734
Matt Maloney,Hawks,Nuggets,9.760241861593714
Matt Maloney,Hawks,Cavaliers,10.799812690215818
Robert Pack,Nuggets,Timberwolves,7.469174288837257
Robert Pack,Nuggets,Clippers,5.546200959434779
Robert Pack,Nuggets,Bulls,5.439998751785657
Robert Pack,Nuggets,Jazz,6.216692682471473
Robert Pack,Nuggets,Grizzlies,7.525916738739211
Robert Pack,Nuggets,Rockets,6.93350917962338
Robert Pack,Nuggets,Lakers,7.12143689727076
Robert Pack,Nuggets,Hornets,6.660214605900359
Robert Pack,Nuggets,Trail Blazers,6.032406310901488
Ruben Wolkowyski,SuperSonics,Wizards,3.831257817582264
Ruben Wolkowyski,SuperSonics,Cavaliers,3.700072549836838
Ruben Wolkowyski,SuperSonics,Spurs,2.958272992588631
Hakeem Olajuwon,Rockets,Bulls,12.503521314782065
Hakeem Olajuwon,Rockets,Pacers,12.223450411349694
Hakeem Olajuwon,Rockets,Mavericks,13.188578422128325
Hakeem Olajuwon,Rockets,Grizzlies,10.637796797726972
Hakeem Olajuwon,Rockets,Grizzlies,12.54620474281989
Hakeem Olajuwon,Rockets,Hornets,13.050110462228114
Hakeem Olajuwon,Rockets,Timberwolves,11.311929866841057
Steve Kerr,Spurs,Pacers,5.083545029274751
Steve Kerr,Spurs,Rockets,4.746731675940422
Steve Kerr,Spurs,Clippers,4.948718415451934
Steve Kerr,Spurs,Nuggets,6.176216961721414
Steve Kerr,Spurs,Trail Blazers,5.452624134860157
